,BF1,BF2,BF3,BF4,BF5,BS1,BS2,BS3,BS4,BS5,FH1,FH2,FH3,FH4,FH5,F1,F2,F3,LD1,LD2,LD3,LH1,LH2,LH3,LH4,LH5,LH6,MV1,MV2,MV3,MV4,R1,R2,R3,R4,SO1,SO2,SO3
Onchidiopsis.sp.,3,0,0,0,0,0,0,0,1,2,0,0,0,3,0,1,2,0,3,0,0,2,0,0,0,1,0,0,0,3,0,0,3,0,0,2,1,0
Ophiacantha.bidentata,0,0,3,0,0,0,1,2,0,0,2,2,0,0,0,1,2,0,0,3,0,2,0,0,0,1,0,0,0,3,0,0,3,0,0,1,2,0
Ophiocten.sericeum,0,0,3,0,0,0,3,0,0,0,2,0,2,1,0,1,2,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,1,2,0
Ophiopholis.aculeata,0,0,3,0,0,0,1,2,0,0,2,2,0,1,0,1,2,0,3,0,0,2,2,0,0,0,0,0,0,3,0,0,3,0,0,2,1,0
Ophiopleura.borealis,0,0,3,0,0,0,2,2,0,0,2,2,0,0,0,1,2,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0
Ophiura.robusta,0,0,3,0,0,0,2,2,0,0,2,1,2,1,0,1,2,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,1,2,0
Ophiura.sarsii,0,0,3,0,0,0,0,2,1,0,1,0,1,2,0,1,2,0,3,0,0,3,0,0,0,0,0,0,0,2,1,0,3,0,0,2,2,0
Ophiuroidea,0,0,3,0,0,1,1,2,1,0,1,1,2,2,0,1,2,0,3,0,0,3,0,0,0,0,0,0,0,2,1,0,3,0,0,2,2,0
Opisthobranchia,2,1,1,0,1,0,2,1,0,0,1,0,0,2,0,0,2,1,2,1,0,3,0,0,0,0,0,0,1,2,1,0,0,2,1,2,1,0
Orchomenella.minuta,0,0,0,3,0,0,3,0,0,0,1,0,2,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,2,0,1,0,0,0,3,3,0,0
Pagurus.capillatus,0,0,2,0,2,0,0,2,1,0,2,0,2,0,0,0,1,2,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,1,0
Pagurus.sp.,0,0,2,0,2,0,0,2,1,0,1,0,2,0,0,0,1,2,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,1,0
Pagurus.trigonocheirus,0,0,2,0,2,0,0,2,1,0,2,0,2,0,0,0,1,2,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,1,0
Pandalina.sp..,0,0,0,3,0,0,2,2,0,0,0,0,1,2,0,0,1,2,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
Pandalus.goniurus,0,0,0,3,0,0,2,2,0,0,0,0,0,3,0,1,2,0,3,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,3,2,1,0
Pandora.glacialis,0,0,0,3,0,0,1,2,0,0,0,3,0,0,0,2,1,0,0,3,0,3,0,0,0,0,0,0,2,2,0,0,0,3,0,2,1,0
Pannychia.moseleyi,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paramphithoe.cuspidata,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0
Paramphithoe.polyacantha,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0
Paroediceros.lynceus,0,0,0,3,0,0,2,1,0,0,0,3,0,0,0,2,1,0,0,0,3,2,0,0,1,0,0,0,2,0,1,0,0,0,3,2,2,0
Paroediceros.propinquus,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelonaia.corrugata,0,3,0,0,0,0,0,2,1,0,0,3,0,0,0,0,1,2,0,0,3,3,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0
Philine.sp..,2,0,0,0,1,0,2,1,0,0,0,0,1,2,0,0,3,0,0,3,0,3,0,0,0,0,0,0,1,2,0,0,1,2,0,3,0,0
Phyllodoce.groenlandica,0,3,0,0,0,0,1,2,0,0,0,0,2,2,0,0,3,0,3,0,0,1,0,0,2,0,0,0,3,0,0,0,0,3,0,2,1,0
Phyllodocidae,0,3,0,0,0,0,2,1,0,0,0,0,0,3,0,0,3,0,3,0,0,1,0,0,2,0,0,0,2,2,1,0,0,3,0,2,1,0
Platyhelminthes,0,0,3,0,0,0,1,2,0,0,0,0,0,3,0,1,2,0,0,0,3,2,0,0,0,1,0,0,0,3,0,0,0,0,3,3,0,0
Pleustes.cataphractus,0,0,0,3,0,0,3,0,0,0,1,0,1,2,0,0,1,2,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
Plicifusus.kroeyeri,1,0,0,0,2,0,0,2,2,0,0,0,0,3,0,0,2,2,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
Plicifusus.sp..,1,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,2,2,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
Polymastia.sp.,0,0,2,0,1,0,0,1,2,0,0,3,0,0,0,0,2,1,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,2,0,0,0,3
Polynoidae,0,2,1,0,0,0,1,2,0,0,1,0,1,2,0,1,2,0,2,0,1,2,0,1,1,1,0,0,2,2,1,0,2,1,2,2,1,0
Porifera,1,0,2,0,2,0,1,2,2,1,0,3,0,0,0,1,2,1,0,3,0,1,0,0,0,1,2,3,0,0,0,1,1,1,1,1,1,2
Propebela.arctica,1,0,0,0,2,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0
Propebela.nobilis,1,0,0,0,2,0,2,2,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0
Propebela.sp..,1,0,0,0,2,0,2,1,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0
Protomedeia.grandimana,0,0,0,3,0,0,3,0,0,0,1,2,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,2,1,0,0,0,0,3,3,0,0
Protomedia.sp.,0,0,0,3,0,0,3,0,0,0,1,2,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,2,1,0,0,0,0,3,3,0,0
Psolus.peronii,2,1,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,1,2,0
Pteraster.jordani,0,0,3,0,0,0,0,0,3,0,1,0,2,2,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0
Pteraster.militaris,0,0,3,0,0,0,0,1,2,0,0,0,0,3,0,0,1,2,0,1,2,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0
Pteraster.obscurus,0,0,3,0,0,0,0,0,2,1,1,0,2,2,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0
Pteraster.sp..,0,0,3,0,0,0,0,1,2,1,1,0,2,2,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0
Pycnogonidae,1,0,0,0,2,2,2,1,3,0,0,0,2,1,0,0,1,2,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Pyrulofusus.deformis,0,0,1,0,2,0,0,0,3,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,3,2,2,0
Quasimelita.formosa,0,0,0,3,0,0,2,1,0,0,2,1,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
Retifusus.sp..,1,0,0,0,2,0,3,0,0,0,0,0,0,3,0,0,1,2,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Rhachotropis.aculeata,0,0,0,3,0,0,1,2,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,2,1,0
Rhegaster.tumidus,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rozinante.fragilis,0,0,0,3,0,0,3,0,0,0,2,0,1,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
Sabinea.septemcarinata,0,0,2,1,0,0,0,2,1,0,0,0,0,3,0,0,2,1,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
Saduria.entomon,0,0,3,0,0,0,0,2,1,0,0,0,1,2,0,0,0,3,0,0,3,3,0,0,0,0,0,0,2,0,1,0,0,0,3,2,1,0
Saduria.sabini,0,0,3,0,0,0,0,2,1,0,0,0,2,1,0,0,0,3,0,0,3,3,0,0,0,0,0,0,2,0,1,0,0,0,3,3,0,0
Saduria.sibirica,0,0,3,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,1,0
Scoletoma.fragilis,3,0,0,0,0,0,1,2,0,0,2,0,0,2,0,0,0,0,0,3,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
Scoletoma.sp..,3,0,0,0,0,0,1,2,0,0,2,0,0,2,0,0,0,0,0,3,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
Semisuberites.cribrosa,0,0,0,0,3,0,1,2,0,0,0,3,0,0,0,0,2,1,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3
Serripes.groenlandicus,0,0,0,3,0,0,0,2,2,0,2,2,0,0,0,0,2,1,3,0,0,3,0,0,0,0,0,0,2,1,0,0,3,0,0,1,2,0
Serripes.sp..,0,0,0,3,0,0,2,1,0,0,2,2,0,0,0,0,2,1,3,0,0,3,0,0,0,0,0,0,2,1,0,0,3,0,0,1,2,0
Sertularia.sp...Thuiaria.sp.,0,0,0,0,3,2,2,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,2,1,3,0,0,0,1,2,0,0,0,0,3
Similipecten.greenlandicus,0,0,0,3,0,0,2,1,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,3,2,1,0
Socarnes.bidenticulatus,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,1,2,0
Spinther.sp..,0,0,3,0,0,0,2,1,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0
Spirontocaris.sp.,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,2,1,3,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,3,2,1,0
Stegocephalus.ampulla,1,0,0,2,0,0,2,1,0,0,0,2,2,2,0,0,2,2,0,0,3,2,0,0,0,1,0,0,0,0,3,0,0,0,3,2,1,0
Stegocephalus.inflatus,1,0,0,2,0,0,0,2,1,0,0,2,2,2,0,0,2,2,0,0,3,2,0,0,0,1,0,0,0,0,3,0,0,0,3,2,1,0
Stegocephalus.sp.,1,0,0,2,0,0,2,2,0,0,0,2,2,2,0,0,2,2,0,0,3,2,0,0,0,1,0,0,0,0,3,0,0,0,3,2,1,0
Stegophiura.nodosa,0,0,3,0,0,0,2,2,0,0,0,0,0,3,0,1,2,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,2,1,0
Stenosemus.albus,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,2,1,0,3,0,2,0,0,0,1,0,0,0,3,0,0,3,0,0,3,0,0
Stomphia.sp.,1,0,0,0,2,0,0,0,3,0,0,0,0,3,0,0,1,2,2,2,0,1,0,0,0,0,2,2,0,1,1,0,3,0,0,2,1,0
Strongylocentrotus.pallidus,3,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0
Styela.rustica,0,0,0,0,3,0,0,1,2,0,0,3,0,0,0,0,2,1,0,3,0,0,0,0,0,2,2,3,0,0,0,0,3,0,0,0,3,0
Synidotea.bicuspida,1,0,2,0,0,0,1,2,0,0,1,2,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0
Tachyrhynchus.erosus,0,0,0,0,3,0,1,2,0,0,0,0,1,2,0,0,2,1,3,0,0,3,0,0,0,0,0,0,1,2,0,0,3,0,0,1,2,0
Tachyrhynchus.sp..,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,2,1,3,0,0,3,0,0,0,0,0,0,1,2,0,0,3,0,0,1,2,0
Tanaidacea,0,0,0,3,0,0,3,0,0,0,1,0,0,1,0,0,3,0,0,0,3,1,1,1,1,0,0,0,2,1,0,0,0,0,3,3,0,0
Tmetonyx.cicada,0,0,3,0,0,0,3,0,0,0,2,0,2,1,0,0,2,1,0,0,3,3,0,0,0,0,0,0,0,2,1,0,0,0,3,2,1,0
Triopha,2,1,1,0,1,0,3,0,0,0,1,0,0,2,0,0,2,1,3,0,0,3,0,0,0,0,0,0,1,2,1,0,0,3,0,2,1,0
Tritonia.sp.,2,1,0,0,0,0,0,2,1,1,0,0,0,3,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Urasterias.lincki,3,0,0,0,0,0,0,0,2,2,1,0,2,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
Urticina.sp.,1,0,0,0,2,0,0,0,3,0,0,0,0,3,0,0,1,2,0,3,0,2,0,0,0,0,2,2,0,1,0,0,2,0,2,2,1,0
Velutina.coriacea,2,0,0,0,1,0,3,0,0,0,0,0,0,3,0,1,2,0,3,0,0,2,0,0,0,1,0,0,0,3,0,0,0,3,0,2,1,0
Velutina.laevigata,2,0,0,0,1,0,2,1,0,0,0,0,0,3,0,1,2,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0
Velutina.sp.,2,0,0,0,1,0,2,1,0,0,0,0,0,3,0,0,3,0,2,0,1,2,0,0,0,1,0,0,0,3,0,0,0,3,0,2,1,0
Velutina.velutina,2,0,0,0,1,0,2,1,0,0,0,0,0,3,0,0,3,0,2,0,1,2,0,0,0,1,0,0,0,3,0,0,0,3,0,2,1,0
Volutopsius.sp..,2,0,0,0,2,0,0,2,1,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
Vulcanella.sp...,3,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,3
Weyprechtia.heuglini,0,0,0,3,0,0,2,1,0,0,0,2,1,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
Weyprechtia.pinguis,0,0,0,3,0,0,2,1,0,0,1,1,1,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
Zoanthidea,0,0,0,0,3,0,3,0,0,0,0,1,0,2,0,0,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0,2,1,0,0,1,0,3
