"Station";"Lat";"Long";"Depth";"Transparency";"Surf_Salinity";"Bot_Salinity";"Surf_Turbidity";"Bot_Turbidity";"Surf_Susp";"Interm_Susp";"Bot_Susp";"Chla_surface";"Chla_intermed";"Chla_bottom";"Org";"Fine_particles";"Coarce_particles";"Bot_Color";"Bot_O2";"Bot_pH";"Bot_Amon_N";"Bot_Nitrit_N";"Bot_Nitrat_N";"Bot_Total_N";"Bot_Mineral_P";"Bot_Total_P";"Bot_Si";"Bot_Organic_N";"Bot_Organic_P";"Int_Color";"Int_O2";"Int_pH";"Int_Amon_N";"Int_Nitrit_N";"Int_Nitrat_N";"Int_Total_N";"Int_Mineral_P";"Int_Total_P";"Int_Si";"Int_Organic_N";"Int_Organic_P";"Surf_Color";"Surf_O2";"Surf_pH";"Surf_Amon_N";"Surf_Nitrit_N";"Surf_Nitrat_N";"Surf_Total_N";"Surf_Mineral_P";"Surf_Total_P";"Surf_Si";"Surf_Organic_N";"Surf_Organic_P"
"O52";71.2733046310713;72.2143536386029;11.5;0.6;0.091;1.696;74.5146;83.0599;25;24.9999999999997;41.9999999999998;2.69;5.74;6.15;0.1;70.3;29.705;78.18;8.44;7.656;0;0.74;40.85;65.45;11.55;72.86;626.36;23.86;61.31;100;8.85;7.6;0.45;0.34;30.24;62.27;21.45;67.14;375.45;31.24;45.69;111.82;8.86;7.634;0;0;24.78;55.45;20.5062;57.86;358.18;30.67;37.35
"O53";71.2760392452496;72.493230958328;21;0.8;0.047;18.09;70.2324;124.4319;21.9999999999999;31.9999999999998;46.9999999999998;1.91;2.3;5.81;0.23;59.2;40.805;40.45;7.91;7.48;0;1.03;41;84.55;10.1343;67.86;577.73;42.52;57.73;134.55;8.61;7.4;0.64;0.54;29.97;68.18;15.7938;52.86;372.73;37.03;37.07;130.91;8.62;7.39;0;0;22.54;60;14.85;45.71;370.91;37.46;30.86
"O54";71.2794969933704;72.7709814812953;23;0.8;0.087;12.017;67.9462;124.4778;20.9999999999999;23;50.9999999999999;1.15;0.38;2.29;0.1;53.5;46.505;119.09;8.6;7.455;0;0.98;40.61;71.82;11.7843;76.43;651.82;30.23;64.65;122.27;8.67;7.392;0;0.54;29.75;55;17.4438;65;446.82;24.71;47.56;124.55;8.68;7.388;0;0;23.77;49.55;15.0843;52.14;377.73;25.78;37.06
"O55";71.2821889154327;73.0515359606133;11.5;0.5;0.034;0.033;79.4691;103.3286;33.9999999999999;37.0000000000001;48.9999999999999;2.29;3.05;2.29;0.12;62.8;37.205;189.09;8.74;7.398;0;0.74;41.07;80.91;12.4938;71.43;333.64;39.1;58.94;202.27;8.76;7.3;0.45;0.25;30.11;61.82;16.2657;57.86;219.55;31.01;41.59;177.73;8.76;7.224;0;0;23.91;50.91;17.6781;46.43;198.64;27;28.75
"O56";71.2853172273433;73.3299209765427;9;0.2;0.037;0.037;124.6191;124.6096;36.0000000000002;NA;33;3.06;NA;2.68;0.001;24.6;75.405;350.45;8.46;7.28;0;0.05;30.75;72.27;12.0219;73.57;595.91;41.47;61.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;332.27;8.78;7.298;0;0;27.83;65.45;13.4343;45;551.36;37.62;31.57
"O57";71.1670687370742;73.6169715829086;5;0.25;0.043;0.043;124.6134;124.6134;30.9999999999999;NA;50.6;5;NA;NA;0.12;20.4;79.605;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;330.91;8.36;7.374;0;0.15;31.08;59.09;11.7843;45.71;574.55;27.86;33.93
"O58";71.1675228256034;72.5826322147043;11;0.3;0.452;0.476;108.3289;124.579;27.0000000000001;32;66;7.31;5;27.49;0.34;65.5;34.505;110;11.19;7.606;0;1.76;40.27;75;12.4938;80;951.82;32.97;67.51;142.27;11.35;7.595;0.45;1.13;29.16;55.91;23.5719;67.86;853.64;25.17;44.29;125;11.49;7.604;0;0.64;22.48;49.55;22.3938;44.29;631.82;26.43;21.9
"O59";71.1707619360445;72.8581386185319;18;0.6;0.213;11.825;69.7817;124.5045;26.9999999999998;23;29;4.19;1.91;7.32;0.31;80.4;19.606;74.55;10.27;7.588;0;0.74;41.58;84.09;14.1438;68.57;643.64;41.77;54.43;100.45;11.28;7.603;31.55;0.44;30.07;85;13.4343;50;445.45;22.94;36.57;126.82;11.3;7.354;28.64;0;23.91;77.73;12.4938;40.71;380;25.18;28.22
"O6";72.7883722184;74.5980707384903;12;1;11.36;30.331;63.9601;72.5664;7.00000000000006;18;35;1.21;0.76;0.91;0.21;89.3;10.705;14.09;10.64;7.816;14.18;2.4;20.35;78.18;0.1584;59.29;693.64;41.25;59.13;15.91;10.72;7.79;12.82;1.96;17.1;72.27;0.1584;49.29;525.45;40.39;49.13;50.91;11;7.767;11.27;1.08;13.85;62.27;0.1584;40.71;319.09;36.07;40.55
"O60";71.1733555978334;73.140807235491;28;0.5;0.084;15.438;87.1224;124.537;71;65;50;0.75;0.76;0.38;0.42;92.2;7.806;101.36;11.25;7.489;0;1.81;39.71;83.18;11.0781;86.43;560.91;41.66;75.35;186.36;11.25;7.509;22.64;1.23;30.07;78.64;20.5062;67.14;380;24.7;46.63;177.73;11.31;7.491;21.55;0.59;24.05;78.64;18.6219;47.14;316.36;32.45;28.52
"O61";71.1748464297469;73.2778702365767;17;0.6;0.143;0.163;74.2529;88.4651;23;74;48;1.91;2.29;3.45;0.22;74.7;25.305;115;11.39;7.475;0;1.72;39.44;79.09;15.5562;67.14;582.73;37.93;51.58;119.09;11.4;7.368;0;1.03;29.55;50.45;12.9657;57.86;387.73;19.87;44.89;130.45;11.45;7.366;0;0.54;23.88;56.36;11.0781;42.86;349.55;31.94;31.78
"O62";71.1764114396328;73.414712890491;12.5;0.4;0.034;0.033;88.0277;90.6215;33.9999999999999;37;44.0000000000001;1.91;NA;2.28;0.31;86.1;13.905;218.64;8.64;7.458;0;2.5;28.73;59.55;12.0219;54.29;437.73;28.32;42.27;219.77;9.16;7.35;9.38;0.74;28.61;67.27;10.6062;42.86;419.55;28.54;32.25;214.55;9.97;7.286;0;0;26.45;75;10.1343;36.43;383.18;48.55;26.3
"O63";71.6786223218286;72.2905669585845;5;0.6;1.411;1.411;113.6787;113.6787;58.9999999999999;NA;NA;5.35;NA;NA;0.19;65.4;34.605;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;149.55;12.42;7.641;0;0;23.84;66.36;7.7781;37.14;782.73;42.52;29.36
"O64";71.6733447016654;72.5293510920599;14;0.7;0.254;9.985;100.9545;124.5255;62.0000000000001;66.9999999999998;30.9999999999999;6.12;6.91;5.33;0.33;56.8;43.205;114.55;10.78;7.658;0;2.11;37.46;78.18;19.3281;63.57;653.64;38.61;44.24;270;11.7;7.66;0;1.42;29.09;51.82;16.7343;54.29;480;21.31;37.56;237.73;11.85;7.429;0;0.44;24.49;58.64;11.3157;45;310;33.71;33.68
"O65";71.6569094929681;73.0195744443871;16;0.7;0.379;2.413;65.8949;72.6310416666667;18;16.0000000000002;25;4.1;4.35;2.56;0.25;89.3;10.706;60;11.86;7.723;0;1.91;30.77;86.36;21.2157;83.57;578.18;53.68;62.35;74.55;12.48;7.704;0;1.18;28.24;48.64;16.9719;63.57;446.36;19.22;46.6;70.91;12.6;7.686;0;0.34;24.59;54.09;13.9062;44.29;264.55;29.16;30.38
"O66";71.0368456258342;72.691530243451;4;0.5;0.077;0.077;124.5771;124.5771;28.0000000000002;NA;NA;6.14;NA;NA;0.1;7.8;92.205;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;223.18;11.56;7.646;0;3.77;26.16;76.82;16.9719;62.14;786.36;46.89;45.17
"O67";71.0390618353882;72.9634894592251;14;0.7;0.055;0.055;82.6473;124.4988;33;10;77.0000000000001;1.92;2.69;1.15;0.2;65.1;34.905;114.09;11.28;7.676;0;6.08;26.24;75;10.3719;97.86;570.91;42.68;87.49;108.64;11.29;7.68;23.09;4.07;18.83;72.73;13.6719;86.43;357.73;26.74;72.76;116.36;11.32;7.567;25.91;1.32;18.17;82.27;14.3781;64.29;298.64;36.87;49.91
"O68";71.0412779331425;73.2390699724989;12;0.5;0.082;0.11;71.6534;86.6239;101;53.9999999999999;58;4.09;4.36;5.38;0.22;50;50.005;123.64;11.38;7.61;0;6.13;36.12;69.55;11.55;88.57;654.55;27.3;77.02;122.73;11.38;7.572;25.55;1.52;30.51;68.64;13.6719;72.86;467.27;11.06;59.19;119.09;11.88;7.525;27.18;0.64;26.53;82.27;15.7938;57.14;334.55;27.92;41.35
"O69";71.0424667132828;73.3803103385595;25;0.9;0.075;12.412;65.5912;124.5885;20;29.0000000000001;42.0000000000001;4.1;4.61;3.85;0.12;74.9;25.105;139.55;13.34;7.552;0;5.05;32.49;73.64;12.2562;92.86;628.64;36.1;80.6;136.36;13.46;7.596;18.09;2.21;25.18;64.55;14.3781;72.86;442.73;19.07;58.48;146.36;13.51;7.643;0;1.42;20.03;69.09;16.0281;65;318.64;47.64;48.97
"O7";72.3387651598345;73.1495690544127;10.5;0.9;0.861;26.886;64.4242;112.995;14.4999999999999;NA;132;2.05;NA;3.07;0.37;42.6;57.405;65.91;10.32;7.742;11.27;1.08;21.75;44.55;10.1343;50;360.45;10.45;39.87;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;76.82;10.91;7.64;5.27;0.54;14.68;43.64;11.0781;40.71;287.73;23.15;29.63
"O70";71.0444487594944;73.5170847696196;23;0.6;0.1;13.002;72.7135;124.4969;3.99999999999984;2.00000000000006;4.00000000000011;2.26;1.88;1.88;0.28;83.5;16.505;46.36;7.58;7.474;0;8.87;34.1;70.91;16.7343;108.57;429.55;27.94;91.84;108.64;10.4;7.447;25.55;6.27;20.98;83.18;14.3781;92.86;244.55;30.38;78.48;137.73;10.45;7.135;27;2.99;15.71;70;12.9657;70.71;203.18;24.3;57.74
"O71";71.0452270565166;73.6331058331608;13;0.1;0.035;0.035;124.6248;124.6229;120;114;160;6.03;6.04;3.01;0.18;76;24.005;152.73;8.18;7.395;0;6.03;36.58;118.64;17.2062;101.43;536.82;76.03;84.22;129.09;8.23;7.292;42.73;2.16;24.8;123.64;21.45;81.43;255.91;53.95;59.98;143.64;8.34;7.25;43.55;1.62;16.64;133.18;22.8657;63.57;279.09;71.37;40.7
"O72";71.0012048811599;73.3837036588611;19;0.9;0.069;10.189;71.982;101.7987;59;1.99999999999978;37.0000000000001;4.11;1.54;1.8;0.2;87.8;12.206;101.36;12.3;7.577;0;6.81;45.73;83.18;12.0219;104.29;757.73;30.64;92.27;124.55;13.41;7.637;14.64;1.47;38.39;78.64;13.9062;95.71;431.82;24.14;81.8;133.18;13.48;7.41;0;0.54;30.98;80.91;15.3219;70.71;376.36;49.39;55.39
"O73";71.0006026877374;73.5178581788217;25;0.6;0.113;12.728;121.9165;124.5599;12;14;16;0.75;3;3;0.23;41.6;58.405;192.27;10.17;7.524;0;10.1;37.29;126.36;20.5062;115.71;489.09;78.97;95.2;266.82;10.33;7.498;54.45;6.96;34.78;129.09;22.1562;107.86;458.64;32.9;85.7;204.09;10.41;7.486;49.27;5.05;30.02;144.55;24.2781;95;379.09;60.21;70.72
"O74";71.0255283640478;73.7520697437217;5;0;0.045;0.045;124.5905;124.5905;81.9999999999999;NA;NA;7.42;NA;NA;0.21;61.8;38.205;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;342.27;7.39;7.308;38.73;6.67;25.29;91.82;31.8219;80.71;622.73;21.13;48.89
"O75";70.9477032892576;72.6997175571565;5;0.3;0.061;0.061;124.6057;124.6057;55.0000000000001;NA;37;5.39;NA;NA;0.29;68.9;31.105;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;176.82;10.3;7.528;0;3.28;33.6;90;15.3219;84.29;529.55;53.12;68.97;175;11.25;7.26;0;1.13;28.87;100.91;19.5657;65.71;373.18;70.91;46.14
"O76";70.9489775019397;72.9734932361907;10;0.3;0.053;0.053;82.9682;101.8502;50;65;30;4.61;NA;4.22;0.24;60.5;39.505;144.09;11.27;7.491;0;3.97;46.97;92.73;11.55;94.29;480.45;41.79;82.74;164.09;11.28;7.46;0;2.35;40.04;68.18;15.0843;84.29;329.55;25.79;69.21;160.91;11.44;7.49;0;1.27;32.5;68.64;12.7281;58.57;151.36;34.87;45.84
"O77";70.9517725658342;73.2477631198429;19;0.5;0.05;0.049;74.2472;101.791;31;68;7.99999999999995;3.6;4.88;3.34;0.26;88.1;11.905;120.91;11.24;7.555;0;5.88;52.6;100;20.9781;101.43;635.91;41.52;80.45;135.91;11.32;7.57;5;4.26;38.13;83.64;14.85;87.86;292.73;36.25;73.01;131.82;11.87;7.588;0;2.06;39.61;87.73;14.3781;80.71;231.36;46.06;66.33
"O78";70.9538367918477;73.3875806458152;15;0.8;0.065;1.354;70.3528;92.6785;26;40;43.0000000000003;7.7;9;5.92;0.11;72.9;27.105;119.55;13.12;7.631;0;8.53;51.33;100.45;15.7938;115;558.18;40.59;99.21;130;13.3;7.639;24.45;6.52;40.36;107.73;15.3219;97.86;485.91;36.4;82.54;116.36;13.42;7.6;24.91;5.39;36.28;112.27;13.4343;87.14;274.55;45.69;73.71
"O79";70.954160634102;73.5221053768673;23;0.8;0.066;11.714;67.7227;122.2488;35;31;59;2.56;1.02;1.28;0.21;34.5;65.505;117.73;10.39;7.527;0;10.44;45.65;91.82;20.9781;130;880;35.73;109.02;99.09;10.46;7.526;1.64;7.84;34.77;84.09;19.5657;116.43;555;39.84;96.86;106.82;10.49;7.428;0;6.42;35.25;92.27;17.4438;87.86;266.36;50.6;70.42
"O8";72.3430519153511;73.3671863625466;12.5;2;2.203;26.578;58.085;87.4776;10.5;15.9999999999999;93;2.44;1.83;5.93;0.32;77.9;22.105;28.64;10.5;7.794;9.27;1.32;36.58;80;20.2719;65;846.36;32.83;44.73;40.45;10.82;7.788;8.36;1.13;28.51;72.27;14.3781;53.57;626.36;34.27;39.19;49.55;11.36;7.685;12.18;0.59;25.13;69.09;8.7219;37.86;390;31.19;29.14
"O80";70.9550833774804;73.6429007684478;21;0.4;0.082;11.871;108.623;102.2685;118;94;66;0.76;2.98;3;0.22;51.6;48.405;206.82;9.94;7.595;0;8.63;50.86;92.73;12.0219;108.57;674.55;33.24;96.55;252.73;9.98;7.571;31.27;7.01;39.73;100.91;14.3781;93.57;628.64;22.9;79.19;251.36;9.99;7.584;34.45;5.39;37.07;101.36;16.2657;81.43;566.82;24.45;65.16
"O81";70.9561431233646;73.7965086197577;9;0;0.041;0.041;124.5924;124.5924;244;NA;260;7.45;NA;5.89;0.2;58.6;41.405;193.18;8.58;7.387;0;8.68;48.78;127.73;24.2781;107.14;830;70.27;82.86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;202.27;8.78;7.345;56.91;5.59;47.24;121.36;22.3938;87.86;785;11.62;65.47
"O82";70.9804120078598;73.8718700622317;3;0;0.049;0.049;124.5637;124.5637;152;NA;NA;5.99;NA;NA;0.001;11;89.005;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;141.36;7.94;7.415;154.13;6.23;34.49;248.64;32.5281;98.57;758.64;53.79;66.04
"O83";70.9126619627998;73.3899589631784;15;0.5;0.058;0.477;73.4679;124.5007;19.0000000000001;37.0000000000001;63.9999999999999;4.63;7.74;17.27;0.2;71.4;28.605;92.27;12.7;7.621;21.45;10;46.09;91.82;28.5219;128.57;538.18;14.28;100.05;86.82;13.21;7.616;21.73;7.84;37.38;92.73;31.1157;107.86;337.27;25.78;76.74;111.36;13.21;7.44;156;5.39;32.8;233.64;32.2938;96.43;259.55;39.45;64.14
"O84";70.9143985276368;73.5247496847243;24;1;0.06;10.315;65.0163;116.9448;25;137;24.0000000000001;4.38;7.45;3.58;0.23;78.7;21.305;59.55;10.38;7.618;0;9.61;44.01;80;14.6157;102.86;1022.72;26.38;88.24;85;13.03;7.619;12.82;8.82;37.7;68.18;12.7281;93.57;838.18;8.84;80.84;95.91;13.41;7.256;0;6.18;41.36;76.82;15.5562;79.29;736.82;29.28;63.73
"O85";70.9161213563848;73.654311582415;22;0.7;0.063;8.01;111.2359;70.8627;125;53;69;3.33;3.84;1.28;0.21;75;25.005;113.64;10.3;7.567;0;7.4;69.05;94.09;17.4438;135.71;867.28;17.64;118.27;105.45;10.38;7.597;0.45;6.13;63;105;21.6843;124.29;640;35.42;102.61;111.82;10.52;7.62;0;5.29;39.71;83.64;23.8062;87.14;435.45;38.64;63.33
"O86";70.9185085009972;73.7977168648191;10;0.2;0.034;0.033;124.5905;124.6115;162;38;48;1.51;0.75;3.75;0.001;21.9;78.105;316.36;10.04;7.456;39.82;2.99;73.8;176.36;23.8062;130;363.64;59.75;106.19;299.09;10.05;7.482;34.09;0.98;69.31;148.18;30.1719;127.14;186.36;43.8;96.97;331.36;10.06;7.409;25.55;0.83;43.01;120.45;32.2938;105.71;136.82;51.06;73.42
"O87";70.8600785873806;72.9832714850373;9;0.5;0.055;0.056;80.4795;124.5809;108;NA;33;4.36;NA;5.63;0.11;72.5;27.505;106.36;13.08;7.585;0;1.62;33.31;55.91;11.7843;117.14;622.73;20.98;105.36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;107.27;13.08;7.624;0;0.83;29.68;57.73;14.3781;101.43;516.36;27.22;87.05
"O88";70.8633009474576;73.2593376039838;18;0.6;0.059;0.058;71.8979;93.0586;24.0000000000001;28;28.9999999999999;4.11;5.91;4.88;0.22;84.4;15.606;106.82;12.39;7.569;0;1.72;56.83;93.64;17.2062;87.86;1034.54;35.09;70.65;99.55;12.35;7.555;22.18;0.93;43.06;84.09;14.85;80;929.1;17.92;65.15;113.18;12.86;7.514;0;0.44;44.34;87.73;11.55;66.43;646.36;42.95;54.88
"O89";70.8643416932302;73.3974536609866;18;1.4;0.06;0.063;67.1134;85.4091;18.0000000000002;117;55.0000000000001;3.47;4.88;3.86;0.21;49.3;50.705;88.64;11.63;7.55;0;0.83;78.01;120.91;22.3938;110;812.73;42.07;87.61;89.09;12.09;7.639;4.64;0;70.51;109.55;23.5719;94.29;465.45;34.4;70.72;105.45;13.07;7.62;0;0;52.68;81.36;21.9219;96.43;433.18;28.68;74.51
"O9";72.34551539962;73.8953984750899;11;1.2;4.301;26.319;60.2795;65.0105;19;25;24.5000000000001;1.53;0.61;0.45;0.47;55.6;44.405;32.27;9.04;7.886;7.45;0.69;29.74;65.91;3.3;66.43;681.82;28.03;63.13;39.09;9.07;7.861;8.36;0.1;29.83;58.64;2.3562;49.29;435;20.35;46.93;43.18;9.53;7.857;9.45;0;26.96;53.64;1.8843;40.71;288.18;17.23;38.83
"O90";70.8652346559054;73.5286517577302;22;1.2;0.055;8.152;62.4645;82.4544;27.0000000000001;39;19.0000000000001;7.12;6.56;2.31;0.11;51.1;48.905;59.55;10.35;7.559;0;2.35;75.11;112.27;24.2781;108.57;621.36;34.81;84.29;85.91;12.68;7.42;6.09;1.91;69.76;107.27;24.0438;90.71;407.27;29.51;66.67;85.91;12.99;7.341;0;0.74;44.26;85.45;26.8719;109.29;374.55;40.45;82.42
"O91";70.8663506431024;73.6624109187264;24;1;0.052;7.601;62.4817;118.3066;24.0000000000001;28;12.0000000000001;11.02;1.39;2.01;0.21;79.9;20.105;97.73;12.46;7.615;0;1.37;76.82;168.64;14.1438;89.29;807.73;90.45;75.15;90.91;12.58;7.624;3;0;67.61;135.45;13.6719;72.86;519.09;64.84;59.19;95.91;12.73;7.646;0;0;44.06;115.91;11.55;64.29;369.09;71.85;52.74
"O92";70.8672052391596;73.8026107263455;10;0.4;0.032;0.033;100.7501;111.7707;34.0000000000001;43.9999999999996;97.9999999999998;0.76;3.84;3.84;0.13;9.9;90.105;158.64;10.21;7.523;0;1.72;78.06;190.45;29.7;86.43;260.45;110.67;56.73;195;10.33;7.415;31.18;1.03;70.2;164.09;24.2781;77.86;158.64;61.68;53.58;175.91;10.36;7.427;35;0.74;45.35;144.55;20.2719;60.71;143.18;63.46;40.44
"O93";70.853718738334;73.906789427321;6;0.7;0.034;0.034;75.6377;75.6377;43;NA;NA;3.82;NA;NA;0.11;24.2;75.805;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;121.82;10.39;7.54;0;1.52;41.6;91.82;22.1562;87.14;324.55;48.7;64.98
"O94";70.1788473545258;72.5927496218929;5;0.5;0.063;0.063;77.9678;77.9678;35.9999999999999;NA;NA;5.37;NA;NA;0.25;31;69.006;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;62.73;13.61;7.462;0;0;29.57;74.55;13.4343;69.29;445;44.98;55.86
"O95";70.1716521544835;72.8537955770576;9;0.4;0.062;0.062;77.5056;91.1696;39;NA;29;6.92;NA;5.38;0.001;38.8;61.205;65.91;12.63;7.615;0;2.16;44;96.36;15.0843;77.14;388.64;50.2;62.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;82.73;12.97;7.469;0;0.54;24.17;80;10.1343;53.57;267.73;55.29;43.44
"O96";70.1637691288032;73.1192023153647;12;0.5;0.051;0.051;78.7146;111.1805;22.0000000000001;38.9999999999999;68.9999999999999;5.14;5.12;5.65;0.2;58.7;41.305;94.09;12.75;7.545;0;1.96;43.84;167.27;16.2657;72.86;464.09;121.47;56.59;99.09;12.76;7.53;0;1.23;29.64;150.91;13.9062;65;412.27;120.04;51.09;109.55;12.77;7.527;0;0;36.3;126.36;10.1343;58.57;194.55;90.06;48.44
"O97";70.1556502103624;73.3821524795885;20;0.9;0.051;0.05;66.6398;74.1059;54.0000000000002;15;50;7.9;7.91;4.24;0.11;87.6;12.406;125;13.24;7.588;0;1.67;30;65;17.9157;96.43;959.1;33.33;78.51;120;14.06;7.642;15.82;0.64;29.29;60.91;16.2657;78.57;766.36;15.16;62.3;129.55;15.71;7.62;0;0;31.74;65.91;16.7343;79.29;603.64;34.17;62.56
"O98";70.1472153092434;73.6427920686747;8;1;0.04;0.04;63.4635;63.5952;43;NA;44.9999999999998;4.06;NA;0.96;0.001;7;93.005;116.36;13.64;7.563;0;2.55;23.54;77.27;21.9219;97.86;759.1;51.18;75.94;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;116.82;14.37;7.51;0;0.83;26.2;73.18;19.0938;73.57;260;46.15;54.48
"O99";71.0061910804508;73.6452669073265;12;0.2;0.036;0.035;124.6229;124.6229;41.9999999999998;64.0000000000002;51.9999999999998;2.98;1.48;5.95;0.11;78.9;21.105;187.27;7.97;7.366;25.91;5.78;43.35;112.27;37.0062;132.14;535.91;37.23;95.13;210.91;8.08;7.354;112.91;3.58;39.46;204.09;35.5938;129.29;338.18;48.14;93.7;201.82;8.09;7.35;67.82;2.65;33;148.18;32.2938;111.43;260.45;44.71;79.14
